"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_ORGANELLE_MEMBRANE_FUSION","GOBP_ORGANELLE_MEMBRANE_FUSION","GOBP_ORGANELLE_MEMBRANE_FUSION","3/13","121/19447",6.42096415911221e-05,6.42096415911221e-05,0.00970839892556207,"112476/6810/1201",3
"GOBP_ORGANELLE_FUSION","GOBP_ORGANELLE_FUSION","GOBP_ORGANELLE_FUSION","3/13","155/19447",0.000133943678122381,0.000133943678122381,0.00970839892556207,"112476/6810/1201",3
"GOBP_MEMBRANE_FUSION","GOBP_MEMBRANE_FUSION","GOBP_MEMBRANE_FUSION","3/13","177/19447",0.000198247272061343,0.000198247272061343,0.0111760450448617,"112476/6810/1201",3
"GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","3/13","207/19447",0.000314220072514061,0.000314220072514061,0.0159425342054503,"112476/6810/1201",3
"GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS","GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS","GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS","3/13","220/19447",0.000375647741762899,0.000375647741762899,0.0173265274191117,"112476/6810/1201",3
"GOCC_EXOCYTIC_VESICLE","GOCC_EXOCYTIC_VESICLE","GOCC_EXOCYTIC_VESICLE","3/13","228/19447",0.000417043938876645,0.000417043938876645,0.0176329103981178,"112476/6810/1201",3
"GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK","3/13","264/19447",0.000639617027819135,0.000639617027819135,0.0231801058202123,"83548/6810/1201",3
"GOBP_VESICLE_ORGANIZATION","GOBP_VESICLE_ORGANIZATION","GOBP_VESICLE_ORGANIZATION","3/13","353/19447",0.00148150919532411,0.00148150919532411,0.0313196242169394,"112476/6810/1201",3
"GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","3/13","389/19447",0.00195662624980798,0.00195662624980798,0.0337096213895104,"83548/6810/1201",3
"GOCC_TRANSPORT_VESICLE","GOCC_TRANSPORT_VESICLE","GOCC_TRANSPORT_VESICLE","3/13","424/19447",0.0025011259325817,0.0025011259325817,0.0362569232933648,"112476/6810/1201",3
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","3/13","449/19447",0.00294261667626972,0.00294261667626972,0.0392892309684767,"112476/6810/1201",3
